yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB8C6I	Entry	Metal binding	Keywords	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Developmental stage	Interacts with	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Cross-reference (BioGrid)	Cross-reference (KEGG)	Cross-reference (EcoGene)	yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB644J
yohF	P33368		Complete proteome;Oxidoreductase;Reference proteome			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491							4260454;	ecj:JW2125;eco:b2137;	EG12019;	
yohP	C1P609		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:19121005, ECO:0000305|PubMed:21778229}; Single-pass membrane protein {ECO:0000269|PubMed:19121005, ECO:0000269|PubMed:21778229}. Note=May be able to insert into the membrane in both orientations. Depletion of SecE or YidC does not affect membrane insertion.		TRANSMEM 3 23 Helical. {ECO:0000255}.		eco:b4679;	EG14484;	
yohK	P0AD19		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 1 Periplasmic. {ECO:0000255}.; TOPO_DOM 23 29 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 51 90 Periplasmic. {ECO:0000255}.; TOPO_DOM 112 118 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 161 208 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 230 231 Periplasmic. {ECO:0000255}.	TRANSMEM 2 22 Helical. {ECO:0000255}.; TRANSMEM 30 50 Helical. {ECO:0000255}.; TRANSMEM 91 111 Helical. {ECO:0000255}.; TRANSMEM 119 139 Helical. {ECO:0000255}.; TRANSMEM 140 160 Helical. {ECO:0000255}.; TRANSMEM 209 229 Helical. {ECO:0000255}.	4260834;	ecj:JW2130;eco:b2142;	EG12024;	
preA	P25889	METAL 344 344 Iron-sulfur 1 (4Fe-4S). {ECO:0000255}.; METAL 347 347 Iron-sulfur 1 (4Fe-4S). {ECO:0000255}.; METAL 350 350 Iron-sulfur 1 (4Fe-4S). {ECO:0000255}.; METAL 354 354 Iron-sulfur 2 (4Fe-4S). {ECO:0000255}.; METAL 378 378 Iron-sulfur 2 (4Fe-4S). {ECO:0000255}.; METAL 381 381 Iron-sulfur 2 (4Fe-4S). {ECO:0000255}.; METAL 384 384 Iron-sulfur 2 (4Fe-4S). {ECO:0000255}.; METAL 388 388 Iron-sulfur 1 (4Fe-4S). {ECO:0000255}.	4Fe-4S;Complete proteome;Direct protein sequencing;Iron;Iron-sulfur;Metal-binding;NAD;Oxidoreductase;Reference proteome;Repeat	pyrimidine nucleobase catabolic process [GO:0006208]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; dihydrouracil dehydrogenase (NAD+) activity [GO:0004159]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; NADH dehydrogenase activity [GO:0003954]; pyrimidine nucleobase catabolic process [GO:0006208]	4 iron, 4 sulfur cluster binding [GO:0051539]; dihydrouracil dehydrogenase (NAD+) activity [GO:0004159]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; NADH dehydrogenase activity [GO:0003954]	GO:0003954; GO:0004159; GO:0005737; GO:0006208; GO:0046872; GO:0051536; GO:0051539							4259170;	ecj:JW2134;eco:b2147;	EG11289;	
lysP	P25737		Amino-acid transport;Cell inner membrane;Cell membrane;Complete proteome;Direct protein sequencing;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	protein homooligomerization [GO:0051260]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; protein homooligomerization [GO:0051260]	amino acid transmembrane transporter activity [GO:0015171]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]	GO:0005886; GO:0005887; GO:0015171; GO:0042802; GO:0046982; GO:0051260				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 2 21 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 43 55 Periplasmic. {ECO:0000305}.; TOPO_DOM 77 104 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 126 130 Periplasmic. {ECO:0000305}.; TOPO_DOM 150 160 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 182 199 Periplasmic. {ECO:0000305}.; TOPO_DOM 219 244 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 265 283 Periplasmic. {ECO:0000305}.; TOPO_DOM 305 347 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 366 371 Periplasmic. {ECO:0000305}.; TOPO_DOM 393 415 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 434 449 Periplasmic. {ECO:0000305}.; TOPO_DOM 471 489 Cytoplasmic. {ECO:0000305}.	TRANSMEM 22 42 Helical. {ECO:0000305}.; TRANSMEM 56 76 Helical. {ECO:0000305}.; TRANSMEM 105 125 Helical. {ECO:0000305}.; TRANSMEM 131 149 Helical. {ECO:0000305}.; TRANSMEM 161 181 Helical. {ECO:0000305}.; TRANSMEM 200 218 Helical. {ECO:0000305}.; TRANSMEM 245 264 Helical. {ECO:0000305}.; TRANSMEM 284 304 Helical. {ECO:0000305}.; TRANSMEM 348 365 Helical. {ECO:0000305}.; TRANSMEM 372 392 Helical. {ECO:0000305}.; TRANSMEM 416 433 Helical. {ECO:0000305}.; TRANSMEM 450 470 Helical. {ECO:0000305}.	4260458;	ecj:JW2143;eco:b2156;	EG11337;	
yeiI	P33020		Complete proteome;Kinase;Reference proteome;Transferase			kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	GO:0016301; GO:0016773							4261150;	ecj:JW2147;eco:b2160;	EG12028;	
psuT	P33024		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; nucleoside transmembrane transporter activity [GO:0005337]	nucleoside transmembrane transporter activity [GO:0005337]	GO:0005337; GO:0005886; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 2 Periplasmic. {ECO:0000255}.; TOPO_DOM 24 31 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 53 104 Periplasmic. {ECO:0000255}.; TOPO_DOM 126 172 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 194 196 Periplasmic. {ECO:0000255}.; TOPO_DOM 218 268 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 290 352 Periplasmic. {ECO:0000255}.; TOPO_DOM 374 394 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 416 416 Periplasmic. {ECO:0000255}.	TRANSMEM 3 23 Helical. {ECO:0000255}.; TRANSMEM 32 52 Helical. {ECO:0000255}.; TRANSMEM 105 125 Helical. {ECO:0000255}.; TRANSMEM 173 193 Helical. {ECO:0000255}.; TRANSMEM 197 217 Helical. {ECO:0000255}.; TRANSMEM 269 289 Helical. {ECO:0000255}.; TRANSMEM 353 373 Helical. {ECO:0000255}.; TRANSMEM 395 415 Helical. {ECO:0000255}.	4260636;	ecj:JW2151;eco:b2164;	EG12032;	
psuG	P33025	METAL 145 145 Manganese. {ECO:0000255|HAMAP-Rule:MF_01876, ECO:0000269|PubMed:23066817}.	3D-structure;Complete proteome;Glycosidase;Hydrolase;Lyase;Manganese;Metal-binding;Reference proteome	nucleobase catabolic process [GO:0046113]; protein homotrimerization [GO:0070207]		hydrolase activity, acting on glycosyl bonds [GO:0016798]; identical protein binding [GO:0042802]; manganese ion binding [GO:0030145]; pseudouridylate synthase activity [GO:0004730]; nucleobase catabolic process [GO:0046113]; protein homotrimerization [GO:0070207]	hydrolase activity, acting on glycosyl bonds [GO:0016798]; identical protein binding [GO:0042802]; manganese ion binding [GO:0030145]; pseudouridylate synthase activity [GO:0004730]	GO:0004730; GO:0016798; GO:0030145; GO:0042802; GO:0046113; GO:0070207							4261702;	ecj:JW2152;eco:b2165;	EG12033;	
yeiR	P33030		Complete proteome;GTP-binding;Hydrolase;Metal-binding;Nucleotide-binding;Reference proteome;Zinc			GTP binding [GO:0005525]; GTPase activity [GO:0003924]; zinc ion binding [GO:0008270]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; zinc ion binding [GO:0008270]	GO:0003924; GO:0005525; GO:0008270							4260468;	ecj:JW2161;eco:b2173;	EG12104;	
bcr	P28246		Antibiotic resistance;Cell inner membrane;Cell membrane;Complete proteome;Membrane;Peptide transport;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	dipeptide transmembrane transport [GO:0035442]; drug transmembrane transport [GO:0006855]; protein transport [GO:0015031]; response to antibiotic [GO:0046677]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; dipeptide transmembrane transporter activity [GO:0071916]; xenobiotic transmembrane transporter activity [GO:0042910]; dipeptide transmembrane transport [GO:0035442]; drug transmembrane transport [GO:0006855]; protein transport [GO:0015031]; response to antibiotic [GO:0046677]	dipeptide transmembrane transporter activity [GO:0071916]; xenobiotic transmembrane transporter activity [GO:0042910]	GO:0005886; GO:0006855; GO:0015031; GO:0016021; GO:0035442; GO:0042910; GO:0046677; GO:0071916				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000305|PubMed:15919996}.	TOPO_DOM 1 8 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 27 48 Periplasmic. {ECO:0000255}.; TOPO_DOM 66 76 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 99 105 Periplasmic. {ECO:0000255}.; TOPO_DOM 123 137 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 160 165 Periplasmic. {ECO:0000255}.; TOPO_DOM 186 214 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 240 250 Periplasmic. {ECO:0000255}.; TOPO_DOM 269 285 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 303 308 Periplasmic. {ECO:0000255}.; TOPO_DOM 333 344 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 367 372 Periplasmic. {ECO:0000255}.; TOPO_DOM 391 396 Cytoplasmic. {ECO:0000269|PubMed:15919996}.	TRANSMEM 9 26 Helical. {ECO:0000255}.; TRANSMEM 49 65 Helical. {ECO:0000255}.; TRANSMEM 77 98 Helical. {ECO:0000255}.; TRANSMEM 106 122 Helical. {ECO:0000255}.; TRANSMEM 138 159 Helical. {ECO:0000255}.; TRANSMEM 166 185 Helical. {ECO:0000255}.; TRANSMEM 215 239 Helical. {ECO:0000255}.; TRANSMEM 251 268 Helical. {ECO:0000255}.; TRANSMEM 286 302 Helical. {ECO:0000255}.; TRANSMEM 309 332 Helical. {ECO:0000255}.; TRANSMEM 345 366 Helical. {ECO:0000255}.; TRANSMEM 373 390 Helical. {ECO:0000255}.	4260471;	ecj:JW5363;eco:b2182;	EG11419;	
narP	P31802		ATP-binding;Activator;Complete proteome;DNA-binding;Nitrate assimilation;Nucleotide-binding;Phosphoprotein;Reference proteome;Repressor;Transcription;Transcription regulation;Two-component regulatory system	nitrate assimilation [GO:0042128]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; nitrate assimilation [GO:0042128]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	ATP binding [GO:0005524]; DNA binding [GO:0003677]	GO:0000160; GO:0003677; GO:0005524; GO:0006355; GO:0042128							4263485;	ecj:JW2181;eco:b2193;	EG11527;	
ccmA	P33931		ATP-binding;Cell inner membrane;Cell membrane;Complete proteome;Cytochrome c-type biogenesis;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport	cytochrome complex assembly [GO:0017004]; heme transport [GO:0015886]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity, coupled [GO:0042623]; protoheme IX ABC transporter activity [GO:0103115]; cytochrome complex assembly [GO:0017004]; heme transport [GO:0015886]	ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; protoheme IX ABC transporter activity [GO:0103115]	GO:0005524; GO:0005886; GO:0015886; GO:0017004; GO:0031234; GO:0042623; GO:0043190; GO:0103115		P0ABL8; P0ABM1		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01707}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01707}.			4261550;	ecj:JW5366;eco:b2201;	EG12059;	
napC	P0ABL5	METAL 63 63 Iron (heme 1 axial ligand). {ECO:0000250|UniProtKB:Q72EF4}.; METAL 91 91 Iron (heme 2 axial ligand); via tele nitrogen. {ECO:0000250|UniProtKB:Q72EF4}.; METAL 109 109 Iron (heme 1 axial ligand). {ECO:0000250|UniProtKB:Q72EF4}.; METAL 151 151 Iron (heme 3 axial ligand); via tele nitrogen. {ECO:0000250|UniProtKB:Q72EF4}.; METAL 183 183 Iron (heme 4 axial ligand); via tele nitrogen. {ECO:0000250|UniProtKB:Q72EF4}.; METAL 188 188 Iron (heme 2 axial ligand); via tele nitrogen. {ECO:0000250|UniProtKB:Q72EF4}.	Cell inner membrane;Cell membrane;Complete proteome;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport	anaerobic respiration [GO:0009061]; denitrification pathway [GO:0019333]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; anaerobic respiration [GO:0009061]; denitrification pathway [GO:0019333]	heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0005886; GO:0009061; GO:0016021; GO:0019333; GO:0020037; GO:0046872				SUBCELLULAR LOCATION: Cell inner membrane; Single-pass membrane protein.	TOPO_DOM 1 23 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 45 200 Periplasmic. {ECO:0000255}.	TRANSMEM 24 44 Helical. {ECO:0000255}.	4261930;	ecj:JW2190;eco:b2202;	EG12060;	
napG	P0AAL3	METAL 61 61 Iron-sulfur 1 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 64 64 Iron-sulfur 1 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 67 67 Iron-sulfur 1 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 71 71 Iron-sulfur 1 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 99 99 Iron-sulfur 2 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 102 102 Iron-sulfur 2 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 107 107 Iron-sulfur 2 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 111 111 Iron-sulfur 2 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 139 139 Iron-sulfur 3 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 147 147 Iron-sulfur 3 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 150 150 Iron-sulfur 3 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 154 154 Iron-sulfur 3 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 186 186 Iron-sulfur 4 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 189 189 Iron-sulfur 4 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 192 192 Iron-sulfur 4 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 196 196 Iron-sulfur 4 (4Fe-4S). {ECO:0000255|PROSITE-ProRule:PRU00711}.	4Fe-4S;Complete proteome;Electron transport;Iron;Iron-sulfur;Metal-binding;Periplasm;Reference proteome;Repeat;Signal;Transport	oxidation-reduction process [GO:0055114]	periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidation-reduction process [GO:0055114]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]	GO:0042597; GO:0046872; GO:0051539; GO:0055114				SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:14674886}.			4262222;	ecj:JW2193;eco:b2205;	EG12064;	
napF	P0AAL0	METAL 37 37 Iron-sulfur 1 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 40 40 Iron-sulfur 1 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 43 43 Iron-sulfur 1 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 47 47 Iron-sulfur 1 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 69 69 Iron-sulfur 2 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 72 72 Iron-sulfur 2 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 75 75 Iron-sulfur 2 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 79 79 Iron-sulfur 2 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 141 141 Iron-sulfur 3 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 144 144 Iron-sulfur 3 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 147 147 Iron-sulfur 3 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.; METAL 151 151 Iron-sulfur 3 (4Fe-4S). {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000255|PROSITE-ProRule:PRU00711}.	4Fe-4S;Complete proteome;Cytoplasm;Direct protein sequencing;Iron;Iron-sulfur;Metal-binding;Reference proteome;Repeat	response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; response to oxidative stress [GO:0006979]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]	GO:0005737; GO:0006979; GO:0046872; GO:0051539				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17074894}. Note=Loosely attached to the inner side of the membrane. {ECO:0000269|PubMed:17074894}.			4262219;	ecj:JW2196;eco:b2208;	EG12068;	
eco	P23827		3D-structure;Complete proteome;Direct protein sequencing;Disulfide bond;Periplasm;Protease inhibitor;Reference proteome;Serine protease inhibitor;Signal		outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; serine-type endopeptidase inhibitor activity [GO:0004867]	serine-type endopeptidase inhibitor activity [GO:0004867]	GO:0004867; GO:0030288		P03951; P00763		SUBCELLULAR LOCATION: Periplasm.			4262218;	ecj:JW2197;eco:b2209;	EG10255;	
ada	P06134	METAL 38 38 Zinc.; METAL 42 42 Zinc.; METAL 69 69 Zinc.; METAL 72 72 Zinc.	3D-structure;Activator;Complete proteome;DNA damage;DNA repair;DNA-binding;Direct protein sequencing;Metal-binding;Methyltransferase;Multifunctional enzyme;Reference proteome;Transcription;Transcription regulation;Transferase;Zinc	cellular response to DNA damage stimulus [GO:0006974]; DNA dealkylation involved in DNA repair [GO:0006307]; DNA demethylation [GO:0080111]; negative regulation of transcription, DNA-templated [GO:0045892]; peptidyl-cysteine methylation [GO:0018125]; positive regulation of transcription, DNA-templated [GO:0045893]		DNA-binding transcription factor activity [GO:0003700]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; cellular response to DNA damage stimulus [GO:0006974]; DNA dealkylation involved in DNA repair [GO:0006307]; DNA demethylation [GO:0080111]; negative regulation of transcription, DNA-templated [GO:0045892]; peptidyl-cysteine methylation [GO:0018125]; positive regulation of transcription, DNA-templated [GO:0045893]	DNA-binding transcription factor activity [GO:0003700]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	GO:0003700; GO:0003908; GO:0006307; GO:0006974; GO:0008270; GO:0018125; GO:0043565; GO:0045892; GO:0045893; GO:0080111		P69931					4261923;	ecj:JW2201;eco:b2213;	EG10029;	
atoS	Q06067		ATP-binding;Cell inner membrane;Cell membrane;Complete proteome;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	protein autophosphorylation [GO:0046777]; regulation of transcription, DNA-templated [GO:0006355]; signal transduction by protein phosphorylation [GO:0023014]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; protein autophosphorylation [GO:0046777]; regulation of transcription, DNA-templated [GO:0006355]; signal transduction by protein phosphorylation [GO:0023014]	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0005524; GO:0005886; GO:0006355; GO:0016021; GO:0023014; GO:0046777				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:16153782}; Multi-pass membrane protein {ECO:0000255}.	TOPO_DOM 1 15 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 37 189 Periplasmic. {ECO:0000305}.; TOPO_DOM 211 608 Cytoplasmic. {ECO:0000305}.	TRANSMEM 16 36 Helical. {ECO:0000255}.; TRANSMEM 190 210 Helical. {ECO:0000255}.	4262011;	ecj:JW2213;eco:b2219;	EG11667;	
